product_slug,metal_species,source_id,source_label,source_slug,source_page,source_product_label,basis,n,loaded_values_summary,mean_ppb,mean_lb_ppb,mean_ub_ppb,median_ppb,range_low_ppb,range_high_ppb,highest_ppb,censoring_status,censoring_limit_ppb,unit,row_fit,direct_distribution_detail,standards_use_note
infant-formula-powder-non-soy,Cd,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,Dabeka 2011,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,wiki/sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum.md,"Infant formula powder, milk-based, as consumed",prepared-for-feeding,57,mean 0.17; median 0.06; highest 1.21 ppb,0.17,,,0.06,,,1.21,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,Cd,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Powder, Cow Milk-based",prepared-for-feeding,230,highest 1.3 ppb,,,,,,,1.3,,,ppb,direct_category1_row,yes,"Distribution-capable input after row fit, basis, censoring, and clean-row review; not a standalone standard."
infant-formula-powder-non-soy,Cd,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Comfort (from birth),as-sold,,LB/UB mean 0-2 ppb,,0,2,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,Cd,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,First milk & hungrier milk (from birth),as-sold,,LB/UB mean 3-4 ppb,,3,4,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,Cd,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Follow on milk (from 6 months),as-sold,,mean 3 ppb,3,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,Cd,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Goat based (from birth and growing up),as-sold,,LB/UB mean 0-2 ppb,,0,2,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,Cd,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Growing up milk (12 months +),as-sold,,LB/UB mean 3-4 ppb,,3,4,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,Cd,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Organic milk,as-sold,,mean 8 ppb,8,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,Cd,kazi2009-toxic-elements-in-infant-formulae,Kazi 2009,sources/kazi2009-toxic-elements-in-infant-formulae,wiki/sources/kazi2009-toxic-elements-in-infant-formulae.md,"Milk-based infant formula powder, pasted Table 3",as-sold,13,mean 7.86; range 4.2-12.3; highest 12.3 ppb,7.86,,,,4.2,12.3,12.3,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,iAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Comfort (from birth),as-sold,,LB/UB mean 0.9-1.9 ppb,,0.9,1.9,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,iAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,First milk & hungrier milk (from birth),as-sold,,LB/UB mean 0.7-1.8 ppb,,0.7,1.8,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
