source_id,tds_food_number,tds_food_description,ingredient_slug,ingredient_label,analyte,analyte_slug,metal_species,units_original,normalized_unit,n,reported_zero_n,min_ppb_equivalent,p10_ppb_equivalent,p50_ppb_equivalent,p90_ppb_equivalent,p95_ppb_equivalent,max_ppb_equivalent,reporting_limit_min_ppb_equivalent,reporting_limit_max_ppb_equivalent,basis,review_state,notes
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Magnesium,magnesium,,ppm,ppb_equivalent,27,0,120000,120000,130000,154000,167000,170000,1000,1000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Manganese,manganese,,ppb,ppb_equivalent,27,0,200,238,320,458,477,560,25,25,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Mercury,mercury,tHg,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Molybdenum,molybdenum,,ppb,ppb_equivalent,27,0,29,32.6,38,49,51.8,56,20,20,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Nickel,nickel,Ni,ppb,ppb_equivalent,27,0,39,47.2,62,93.6,96.7,120,20,20,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Phosphorus,phosphorus,,ppm,ppb_equivalent,27,0,860000,876000,950000,1100000,1170000,1200000,2000,2000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Potassium,potassium,,ppm,ppb_equivalent,27,0,1500000,1500000,1600000,1900000,1900000,2000000,2000,2000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Selenium,selenium,,ppb,ppb_equivalent,27,0,28,28.6,34,39,42.5,45,3,3,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Sodium,sodium,,ppm,ppb_equivalent,27,0,550000,600000,690000,872000,925000,950000,2000,2000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Strontium,strontium,,ppb,ppb_equivalent,27,0,320,356,640,958,1070,1200,40,40,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Uranium,uranium,U,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Vanadium,vanadium,,ppb,ppb_equivalent,27,5,0,0,4.5,5.8,6.36,11,3,3,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Zinc,zinc,,ppb,ppb_equivalent,27,0,3800,3800,4500,5380,5850,6000,50,50,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,4,"Milk, skim, fluid",skim-milk,Skim milk,Arsenic (total),arsenic-total,tAs,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,4,"Milk, skim, fluid",skim-milk,Skim milk,Cadmium,cadmium,Cd,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,4,"Milk, skim, fluid",skim-milk,Skim milk,Calcium,calcium,,ppm,ppb_equivalent,27,0,1100000,1100000,1200000,1300000,1370000,1500000,1000,1000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,4,"Milk, skim, fluid",skim-milk,Skim milk,Chromium,chromium,Cr,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,25,25,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,4,"Milk, skim, fluid",skim-milk,Skim milk,Copper,copper,,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,50,50,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
